Well ID,Managing Agency,Type,Latitude,Longitude,Well Depth,
322109106505301,USGS,Discrete project site,32.3525,-106.8481389,39,
322137106482101,USGS,Discrete project site,32.360275,-106.8059056,49.8,
322233106590902,USGS,Discrete project site,32.37592346,-106.9863448,250,
322312106503601,USGS,Discrete project site,32.38842428,-106.8438959,20.7,
322314106511301,USGS,Discrete project site,32.38735556,-106.85365,35,
322403106500301,USGS,Discrete project site,32.40071667,-106.8342472,40,
322410106505501,USGS,Discrete project site,32.40280278,-106.8484944,34.5,
322826106534701,USGS,Discrete project site,32.47385833,-106.8962972,34,
322841106551801,USGS,Discrete project site,32.47810278,-106.92165,39,
323612107000501,USGS,Discrete project site,32.60313905,-107.0050145,16,
323722107002801,USGS,Discrete project site,32.62209167,-107.0079306,23.02,
323733107011002,USGS,Discrete project site,32.62634167,-107.0190111,22.55,
323930107041401,USGS,Discrete project site,32.6582,-107.0710056,23.25,
323956107090901,USGS,Discrete project site,32.66896826,-107.1516855,20,
324007107095501,USGS,Discrete project site,32.66863889,-107.1653333,60,
324021107114301,USGS,Discrete project site,32.67305833,-107.1962056,16.98,
324226107134301,USGS,Discrete project site,32.70646571,-107.2302989,23,
324228107143001,USGS,Discrete project site,32.70766667,-107.2416556,38,
324917107183201,USGS,Discrete project site,32.82035207,-107.3078013,20,
324955107180902,USGS,Discrete project site,32.83169444,-107.3033889,22,
350255106344201,USGS,Discrete project site,35.04868611,-106.5784444,,
350256106344201,USGS,Discrete project site,35.049025,-106.5783028,,
350256106344401,USGS,Discrete project site,35.04880556,-106.579325,489,
350257106344101,USGS,Discrete project site,35.04900833,-106.5784111,493,
350257106344701,USGS,Discrete project site,35.04924167,-106.5796472,,
350258106344101,USGS,Discrete project site,35.04948333,-106.5782472,484,
350258106344701,USGS,Discrete project site,35.04935278,-106.5797111,,
350258106345001,USGS,Discrete project site,35.04954167,-106.5805111,,
350259106344501,USGS,Discrete project site,35.04961389,-106.5792806,,
350300106344101,USGS,Discrete project site,35.05010278,-106.5781944,493,
350300106344201,USGS,Discrete project site,35.05005556,-106.5782389,512,
350300106344401,USGS,Discrete project site,35.05003889,-106.5789611,484,
350300106344801,USGS,Discrete project site,35.05011389,-106.5795583,489,
350301106344801,USGS,Discrete project site,35.05024722,-106.579925,484,
350303106344501,USGS,Discrete project site,35.05095278,-106.5791667,,
350304106343701,USGS,Discrete project site,35.05117222,-106.5774417,491,
350304106343901,USGS,Discrete project site,35.05100833,-106.5774556,516,
350304106344101,USGS,Discrete project site,35.051175,-106.5779917,,
350304106344401,USGS,Discrete project site,35.05103333,-106.5792639,488,
350304106345401,USGS,Discrete project site,35.05107222,-106.5817111,660,
350304106345402,USGS,Discrete project site,35.05107222,-106.5817111,860,
350304106345403,USGS,Discrete project site,35.05107222,-106.5817111,1040,
350305106344401,USGS,Discrete project site,35.05129722,-106.5789944,,
350307106344101,USGS,Discrete project site,35.05188056,-106.5776361,493,
350308106342501,USGS,Discrete project site,35.05233889,-106.5737222,,
350311106343201,USGS,Discrete project site,35.05292222,-106.5755861,,
350311106343701,USGS,Discrete project site,35.05300278,-106.5773306,488,
350311106343801,USGS,Discrete project site,35.05305,-106.5773417,512,
350359106333901,USGS,Discrete project site,35.066475,-106.560875,538,
350359106333902,USGS,Discrete project site,35.06651389,-106.5608361,610,
350359106333903,USGS,Discrete project site,35.06651389,-106.5608361,1090,
350359106333904,USGS,Discrete project site,35.06651389,-106.5608361,1400,
350359106335201,USGS,Discrete project site,35.06651389,-106.5643972,519,
350359106335202,USGS,Discrete project site,35.06646389,-106.5644083,620,
350359106335203,USGS,Discrete project site,35.06646389,-106.5644056,1040,
350359106335204,USGS,Discrete project site,35.06646389,-106.5644083,1338,
350359106335206,USGS,Discrete project site,35.06649167,-106.5645694,510,
350408106335601,USGS,Discrete project site,35.06909444,-106.5657528,527,
350408106335602,USGS,Discrete project site,35.06909444,-106.5657528,1018,
350408106335603,USGS,Discrete project site,35.06909444,-106.5657528,1432,
364220108054501,USGS,Discrete project site,36.70560278,-108.09515,68,
364222108053401,USGS,Discrete project site,36.70785556,-108.0951167,45,
364224108054101,USGS,Discrete project site,36.70686389,-108.0954611,38.09,
364226108054001,USGS,Discrete project site,36.70730833,-108.0952556,39.73,
364227108054201,USGS,Discrete project site,36.70743611,-108.0950333,38.5,
364228108053901,USGS,Discrete project site,36.70780833,-108.0950111,35,
364228108054001,USGS,Discrete project site,36.70791944,-108.0953278,35.05,
364228108054201,USGS,Discrete project site,36.70792778,-108.0951472,45.65,
364228108054401,USGS,Discrete project site,36.70781111,-108.0955806,39.82,
364229108054202,USGS,Discrete project site,36.70814444,-108.0951167,43.6,
364230108054301,USGS,Discrete project site,36.7084,-108.0953611,42.5,
364231108054101,USGS,Discrete project site,36.70872778,-108.09545,38.02,
364235108054101,USGS,Discrete project site,36.70993611,-108.0955944,42.56,
364245108053801,USGS,Discrete project site,36.7127,-108.0947444,47.35,
341528106533301,USGS,Discrete project site,34.25743889,-106.8931,38,
342107106530401,USGS,Discrete project site,34.35200976,-106.8850279,223,
344258106460901,USGS,Discrete project site,34.71616861,-106.7697495,135,
344258106460902,USGS,Discrete project site,34.71616861,-106.7697495,300,
345842106443101,USGS,Discrete project site,34.97850833,-106.7415778,1455,
345842106443102,USGS,Discrete project site,34.97850833,-106.7415778,960,
345842106443103,USGS,Discrete project site,34.97850833,-106.7415778,297,
350056106370101,USGS,Discrete project site,35.01586111,-106.6173167,1628,
350137106410501,USGS,Discrete project site,35.02699256,-106.6853035,148.5,
350137106410502,USGS,Discrete project site,35.02699256,-106.6853035,103.8,
350137106410503,USGS,Discrete project site,35.02699256,-106.6853035,38.4,
350138106393201,USGS,Discrete project site,35.02727045,-106.6594696,148,
350138106393202,USGS,Discrete project site,35.02727045,-106.6594696,101,
350138106393203,USGS,Discrete project site,35.02727045,-106.6594696,49.33,
350138106395501,USGS,Discrete project site,35.02727042,-106.6658586,153.53,
350138106395502,USGS,Discrete project site,35.02727042,-106.6658586,91.16,
350138106395503,USGS,Discrete project site,35.02727042,-106.6658586,48.6,
350138106401101,USGS,Discrete project site,35.02781111,-106.6710333,150,
350138106401102,USGS,Discrete project site,35.02778611,-106.6710361,22,
350138106401103,USGS,Discrete project site,35.02780278,-106.6710694,515,
350223106435401,USGS,Discrete project site,35.04104167,-106.7327222,1520,
350249106434201,USGS,Discrete project site,35.04683333,-106.7290278,1133,
350301106383601,USGS,Discrete project site,35.05040833,-106.6439611,1032,
350309106434501,USGS,Discrete project site,35.05281389,-106.7303083,1229,
350339106294001,USGS,Discrete project site,35.06133611,-106.494825,,
350358106372901,USGS,Discrete project site,35.0661,-106.6251028,1191,
350359106254701,USGS,Discrete project site,35.06623333,-106.4310833,90,
350435106380101,USGS,Discrete project site,35.07638889,-106.63375,1004,
350454106570401,USGS,Discrete project site,35.08171142,-106.9517001,117,
350548106383901,USGS,Discrete project site,35.09643056,-106.64495,149,
350552106444601,USGS,Discrete project site,35.09775,-106.7463333,1424,
350602106210401,USGS,Discrete project site,35.10060157,-106.3516912,54.3,
350605106411801,USGS,Discrete project site,35.10161111,-106.6883806,950,
350615106345901,USGS,Discrete project site,35.10435556,-106.5837778,1400,
350628106411501,USGS,Discrete project site,35.10782334,-106.688082,950,
350642106401101,USGS,Discrete project site,35.11129722,-106.6689944,924,
350646106403601,USGS,Discrete project site,35.11282323,-106.6772485,150,
350646106443201,USGS,Discrete project site,35.11286389,-106.7429778,1662,
350647106440001,USGS,Discrete project site,35.11278056,-106.7339222,1575,
350648106362501,USGS,Discrete project site,35.11333333,-106.6076944,984,
350653106403001,USGS,Discrete project site,35.11465278,-106.6754556,,
350708106405801,USGS,Discrete project site,35.11964167,-106.6802361,804,
350744106333501,USGS,Discrete project site,35.12882778,-106.5603556,1450,
350752106342101,USGS,Discrete project site,35.13111944,-106.5731306,996,
350821106383701,USGS,Discrete project site,35.13921145,-106.6441925,131.5,
350821106383702,USGS,Discrete project site,35.13921145,-106.6441925,93.5,
350821106383703,USGS,Discrete project site,35.13937811,-106.6445537,50.2,
350824106375301,USGS,Discrete project site,35.14004482,-106.6319701,150.3,
350827106391301,USGS,Discrete project site,35.14046111,-106.6544389,149.8,
350827106391302,USGS,Discrete project site,35.14046111,-106.6544389,99,
350827106391303,USGS,Discrete project site,35.14046111,-106.6544389,49.8,
350829106420401,USGS,Discrete project site,35.14341389,-106.7009472,250,
350836106395601,USGS,Discrete project site,35.14337788,-106.6661375,147.4,
350836106395603,USGS,Discrete project site,35.14337788,-106.6661375,39.7,
350837106393801,USGS,Discrete project site,35.14337791,-106.6611374,152,
350852106425701,USGS,Discrete project site,35.14779722,-106.7164583,997,
350854106403701,USGS,Discrete project site,35.14837767,-106.6775266,152,
350854106403702,USGS,Discrete project site,35.14837767,-106.6775266,93.4,
350854106403703,USGS,Discrete project site,35.14837767,-106.6775266,48.41,
350859106401601,USGS,Discrete project site,35.14976654,-106.6716932,25,
350859106401602,USGS,Discrete project site,35.14976654,-106.6716932,75,
350859106401603,USGS,Discrete project site,35.14976654,-106.6716932,150,
350918106315401,USGS,Discrete project site,35.15456111,-106.5310194,1626,
350918106425401,USGS,Discrete project site,35.15521389,-106.7147306,970,
350931106315501,USGS,Discrete project site,35.159125,-106.5326944,1704,
350950106434001,USGS,Discrete project site,35.15965833,-106.7292,1080,
351009106344701,USGS,Discrete project site,35.16921082,-106.5803026,360,
351013106333501,USGS,Discrete project site,35.17031111,-106.5602528,1346,
351025106341601,USGS,Discrete project site,35.1735,-106.5717778,1194,
351029106332001,USGS,Discrete project site,35.175375,-106.5553694,1357,
351035106364701,USGS,Discrete project site,35.17686944,-106.6136667,68.7,
351035106364702,USGS,Discrete project site,35.17686944,-106.6136667,143.5,
351035106364703,USGS,Discrete project site,35.17686944,-106.6136667,543.9,
351040106482801,USGS,Discrete project site,35.17772222,-106.8076667,1735,
351057106384201,USGS,Discrete project site,35.18254342,-106.6455818,150,
351057106384202,USGS,Discrete project site,35.18254342,-106.6455818,95,
351057106384203,USGS,Discrete project site,35.18254342,-106.6455818,45,
351059106385901,USGS,Discrete project site,35.18289722,-106.6506556,150,
351059106385902,USGS,Discrete project site,35.18289722,-106.6506556,25,
351059106385903,USGS,Discrete project site,35.18289722,-106.6506556,600,
351852106344901,USGS,Discrete project site,35.31473333,-106.5812861,206,
352019106474801,USGS,Discrete project site,35.33926111,-106.7966028,1625,
355002106093703,USGS,Discrete project site,35.83391482,-106.1608583,60,
355003106094303,USGS,Discrete project site,35.83419258,-106.162525,60,
